,fips,CTYNAME,Percent_Overall,Disparity_White_Male,Disparity_White_Female,Disparity_Black_Male,Disparity_Black_Female,Disparity_Nat_Amer_Male,Disparity_Hispanic_Male,Disparity_Hispanic_Female,Disparity_Asian_Pac_Male,Disparity_Asian_Pac_Female,year
236,595,Emporia city,,,,,,,,,,,2011
237,600,Fairfax city,0.013,-0.001,0.01,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,2011
238,610,Falls Church city,0.032,0.007,-0.013,-0.032,-0.032,-0.032,-0.032,-0.032,0.158,-0.032,2011
239,620,Franklin city,0.403,-0.278,-0.403,0.987,-0.292,-0.403,-0.403,-0.403,-0.403,-0.403,2011
240,630,Fredericksburg city,0.303,0.032,-0.168,0.884,-0.155,-0.303,-0.303,-0.303,-0.303,-0.303,2011
241,640,Galax city,0.643,0.334,-0.372,1.209,0.212,-0.643,-0.432,-0.643,-0.643,-0.643,2011
242,650,Hampton city,0.147,-0.013,-0.096,0.249,-0.095,-0.147,-0.117,-0.147,-0.147,-0.147,2011
243,660,Harrisonburg city,0.188,0.064,-0.135,1.033,-0.133,-0.188,-0.118,-0.188,-0.188,-0.188,2011
244,670,Hopewell city,0.333,-0.022,-0.156,0.755,-0.291,-0.333,-0.333,-0.333,-0.333,-0.333,2011
245,678,Lexington city,0.273,0.118,-0.159,0.572,-0.273,-0.273,-0.273,-0.273,-0.273,-0.273,2011
246,680,Lynchburg city,0.336,-0.141,-0.246,1.316,-0.203,-0.336,-0.336,-0.336,-0.243,-0.336,2011
247,683,Manassas city,0.123,0.046,-0.095,0.368,-0.056,-0.123,-0.093,-0.123,-0.024,-0.123,2011
248,685,Manassas Park city,0.007,-0.007,0.012,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,2011
249,690,Martinsville city,0.508,-0.102,-0.275,0.964,-0.328,-0.508,-0.508,-0.508,-0.508,-0.508,2011
250,700,Newport News city,0.198,-0.057,-0.128,0.426,-0.093,-0.198,-0.198,-0.198,-0.198,-0.198,2011
251,710,Norfolk city,0.229,-0.128,-0.173,0.539,-0.106,-0.229,-0.229,-0.229,-0.206,-0.229,2011
252,720,Norton city,0.563,0.082,-0.307,3.569,-0.563,-0.563,0.845,-0.563,-0.563,-0.563,2011
253,730,Petersburg city,0.614,0.065,-0.403,0.643,-0.433,-0.614,-0.47,-0.614,-0.614,-0.614,2011
254,735,Poquoson city,0.125,0.104,-0.09,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,2011
255,740,Portsmouth city,0.231,-0.093,-0.176,0.395,-0.114,-0.231,-0.231,-0.231,-0.231,-0.231,2011
256,750,Radford city,,,,,,,,,,,2011
257,760,Richmond city,0.346,-0.226,-0.304,0.787,-0.193,-0.346,-0.276,-0.346,-0.257,-0.346,2011
258,770,Roanoke city,0.253,-0.035,-0.142,0.626,-0.138,-0.253,-0.187,-0.253,-0.146,-0.253,2011
259,775,Salem city,,,,,,,,,,,2011
260,790,Staunton city,0.254,0.076,-0.137,0.902,-0.072,-0.254,-0.254,-0.254,-0.254,-0.254,2011
261,800,Suffolk city,0.152,-0.044,-0.112,0.352,-0.096,-0.152,-0.152,-0.152,-0.152,-0.152,2011
262,810,Virginia Beach city,0.035,0.001,-0.019,0.128,-0.024,-0.035,-0.028,-0.035,-0.035,-0.035,2011
263,820,Waynesboro city,0.246,0.072,-0.085,0.382,-0.167,-0.246,0.008,-0.246,-0.246,-0.246,2011
264,830,Williamsburg city,,,,,,,,,,,2011
265,840,Winchester city,0.405,0.061,-0.28,1.81,-0.405,-0.405,-0.068,-0.405,-0.102,-0.405,2011
266,1,Accomack County,0.102,-0.014,-0.085,0.344,-0.063,-0.102,-0.102,-0.102,-0.102,-0.102,2012
267,3,Albemarle County,0.08,-0.025,-0.062,0.956,-0.042,-0.08,-0.08,-0.08,-0.08,-0.08,2012
268,5,Alleghany County,0.125,0.012,-0.047,0.642,-0.125,-0.125,0.638,-0.125,-0.125,-0.125,2012
269,7,Amelia County,0.18,-0.011,0.028,0.123,-0.114,-0.18,-0.18,-0.18,-0.18,-0.18,2012
270,9,Amherst County,0.159,0.049,-0.114,0.429,-0.064,-0.159,-0.159,-0.159,-0.159,-0.159,2012
271,11,Appomattox County,0.072,-0.02,-0.039,0.204,0.055,-0.072,-0.072,-0.072,-0.072,-0.072,2012
272,13,Arlington County,0.015,-0.001,-0.013,0.092,0.045,-0.015,-0.009,-0.015,0.005,-0.015,2012
273,15,Augusta County,0.06,0.018,-0.031,0.299,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,2012
274,17,Bath County,0.259,-0.073,0.063,-0.259,-0.259,-0.259,-0.259,-0.259,-0.259,-0.259,2012
275,19,Bedford County,0.106,0.015,-0.071,0.817,-0.031,-0.106,-0.106,-0.106,-0.106,-0.106,2012
276,21,Bland County,0.105,-0.047,0.032,0.403,-0.105,-0.105,-0.105,-0.105,-0.105,-0.105,2012
277,23,Botetourt County,0.127,0.06,-0.058,0.209,-0.127,-0.127,-0.127,-0.127,-0.127,-0.127,2012
278,25,Brunswick County,0.211,-0.128,-0.153,0.253,-0.078,-0.211,-0.211,-0.211,-0.211,-0.211,2012
279,27,Buchanan County,0.206,0.073,-0.058,-0.206,-0.206,-0.206,-0.206,-0.206,-0.206,-0.206,2012
280,29,Buckingham County,0.205,0.004,-0.145,0.372,-0.205,-0.205,-0.205,-0.205,-0.205,-0.205,2012
281,31,Campbell County,0.102,0.007,-0.085,0.485,0.021,-0.102,-0.102,-0.102,-0.102,-0.102,2012
282,33,Caroline County,0.231,-0.064,-0.108,0.531,-0.088,-0.231,-0.231,-0.231,-0.231,-0.231,2012
283,35,Carroll County,0.09,0.034,-0.043,-0.09,-0.09,-0.09,-0.09,-0.09,3.481,-0.09,2012
284,36,Charles City County,,,,,,,,,,,2012
285,37,Charlotte County,0.073,-0.002,-0.049,0.157,-0.022,-0.073,-0.073,-0.073,-0.073,-0.073,2012
286,41,Chesterfield County,0.129,0.009,-0.071,0.375,-0.097,-0.129,-0.09,-0.129,-0.072,-0.112,2012
287,43,Clarke County,0.063,0.014,-0.063,0.729,-0.063,-0.063,0.328,-0.063,-0.063,-0.063,2012
288,45,Craig County,0.156,0.123,-0.117,-0.156,-0.156,-0.156,-0.156,-0.156,-0.156,-0.156,2012
289,47,Culpeper County,0.142,0.033,-0.074,0.351,-0.085,-0.142,-0.142,-0.142,-0.142,-0.142,2012
290,49,Cumberland County,0.071,-0.039,-0.071,0.336,-0.071,-0.071,-0.071,-0.071,-0.071,-0.071,2012
291,51,Dickenson County,0.274,0.108,-0.104,-0.274,-0.274,-0.274,-0.274,-0.274,-0.274,-0.274,2012
292,53,Dinwiddie County,0.053,-0.042,-0.053,0.264,-0.053,-0.053,-0.053,-0.053,-0.053,-0.053,2012
293,57,Essex County,0.162,-0.129,-0.073,0.504,-0.119,-0.162,-0.162,-0.162,-0.162,-0.162,2012
294,59,Fairfax County,0.006,0.002,-0.002,0.023,0.001,-0.006,-0.003,-0.006,-0.002,-0.006,2012
295,61,Fauquier County,0.129,0.023,-0.041,0.285,0.052,-0.129,-0.129,-0.129,-0.129,-0.129,2012
296,63,Floyd County,0.35,0.117,-0.134,0.369,1.011,-0.35,-0.35,-0.35,-0.35,-0.35,2012
297,65,Fluvanna County,0.073,0.008,-0.046,0.417,-0.073,-0.073,-0.073,-0.073,-0.073,-0.073,2012
298,67,Franklin County,0.139,0.042,-0.073,0.513,-0.096,-0.139,-0.139,-0.139,-0.139,-0.139,2012
299,69,Frederick County,0.165,0.013,-0.044,0.591,0.087,-0.165,-0.059,-0.165,-0.165,-0.165,2012
300,71,Giles County,0.253,0.116,-0.098,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,2012
301,73,Gloucester County,0.114,0.004,-0.047,0.68,-0.114,-0.114,-0.114,-0.114,-0.114,-0.114,2012
302,75,Goochland County,0.089,0.019,-0.043,0.173,-0.035,-0.089,-0.089,-0.089,-0.089,-0.089,2012
303,77,Grayson County,0.231,0.075,-0.083,0.368,-0.231,-0.231,0.198,-0.231,-0.231,-0.231,2012
304,79,Greene County,0.085,-0.037,-0.062,1.199,-0.085,-0.085,0.381,-0.085,-0.085,-0.085,2012
305,81,Greensville County,0.281,-0.172,-0.281,0.334,-0.167,-0.281,-0.281,-0.281,-0.281,-0.281,2012
306,83,Halifax County,0.224,-0.083,-0.118,0.484,-0.096,-0.224,0.066,-0.224,-0.224,-0.224,2012
307,85,Hanover County,0.127,0.036,-0.08,0.583,-0.086,-0.127,-0.127,-0.127,-0.127,-0.127,2012
308,87,Henrico County,0.107,0.017,-0.063,0.258,-0.063,-0.107,-0.095,-0.107,-0.09,-0.107,2012
309,89,Henry County,0.09,0.013,-0.042,0.165,-0.057,-0.09,0.049,-0.09,-0.09,-0.09,2012
310,91,Highland County,0.134,0.049,-0.045,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,2012
311,93,Isle of Wight County,,,,,,,,,,,2012
312,95,James City County,,,,,,,,,,,2012
313,97,King and Queen County,,,,,,,,,,,2012
314,99,King George County,0.191,-0.005,-0.073,0.606,-0.146,-0.191,-0.191,-0.191,-0.191,-0.191,2012
315,101,King William County,0.1,-0.019,0.011,0.207,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,2012
316,103,Lancaster County,0.207,-0.071,-0.159,0.885,-0.207,-0.207,-0.207,-0.207,-0.207,-0.207,2012
317,105,Lee County,0.094,0.03,-0.019,-0.094,-0.094,-0.094,-0.094,-0.094,-0.094,-0.094,2012
318,107,Loudoun County,0.031,0.016,-0.018,0.146,-0.0,-0.031,-0.013,-0.031,-0.027,-0.031,2012
319,109,Louisa County,0.146,-0.025,-0.072,0.548,-0.079,-0.146,-0.146,-0.146,-0.146,-0.146,2012
320,111,Lunenburg County,0.095,-0.071,-0.017,0.199,-0.044,-0.095,-0.095,-0.095,-0.095,-0.095,2012
321,113,Madison County,0.107,0.074,-0.073,0.191,-0.107,-0.107,-0.107,-0.107,-0.107,-0.107,2012
322,115,Mathews County,0.056,-0.03,-0.007,0.462,-0.056,-0.056,-0.056,-0.056,-0.056,-0.056,2012
323,117,Mecklenburg County,0.196,-0.112,-0.136,0.629,-0.196,1.978,-0.196,-0.196,-0.196,-0.196,2012
324,119,Middlesex County,0.12,-0.073,-0.029,0.565,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,2012
325,121,Montgomery County,0.176,0.038,-0.056,0.459,0.107,-0.176,-0.109,-0.176,-0.08,-0.176,2012
326,125,Nelson County,0.135,0.076,-0.056,0.098,-0.135,-0.135,-0.135,-0.135,-0.135,-0.135,2012
327,127,New Kent County,0.162,0.102,-0.085,0.13,-0.162,-0.162,-0.162,-0.162,-0.162,-0.162,2012
328,131,Northampton County,0.221,-0.085,-0.221,0.79,-0.14,-0.221,-0.221,-0.221,-0.221,-0.221,2012
329,133,Northumberland County,0.185,-0.051,-0.141,0.623,-0.063,-0.185,-0.185,-0.185,-0.185,-0.185,2012
330,135,Nottoway County,0.216,-0.132,-0.17,0.594,-0.216,-0.216,-0.216,-0.216,-0.216,-0.216,2012
331,137,Orange County,0.152,-0.017,-0.048,0.583,-0.152,-0.152,-0.152,-0.152,-0.152,-0.152,2012
332,139,Page County,0.235,0.076,-0.072,0.517,-0.235,-0.235,-0.235,-0.235,-0.235,-0.235,2012
333,141,Patrick County,0.071,0.049,-0.048,0.117,-0.071,-0.071,-0.071,-0.071,-0.071,-0.071,2012
334,143,Pittsylvania County,0.094,-0.048,-0.04,0.4,-0.066,-0.094,-0.094,-0.094,-0.094,-0.094,2012
335,145,Powhatan County,0.075,-0.01,-0.032,0.236,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,2012
336,147,Prince Edward County,0.216,-0.029,-0.161,0.562,-0.191,-0.216,-0.216,-0.216,-0.216,-0.216,2012
337,149,Prince George County,0.062,0.012,-0.053,0.116,-0.062,-0.062,-0.062,-0.062,-0.062,-0.062,2012
338,153,Prince William County,0.067,0.005,-0.04,0.215,-0.022,-0.067,-0.063,-0.067,-0.061,-0.067,2012
339,155,Pulaski County,0.343,0.11,-0.153,0.851,0.241,-0.343,-0.343,-0.343,-0.343,-0.343,2012
340,157,Rappahannock County,0.148,0.086,-0.09,0.437,-0.148,-0.148,-0.148,-0.148,-0.148,-0.148,2012
341,159,Richmond County,0.231,-0.012,-0.162,0.377,-0.123,-0.231,-0.231,-0.231,-0.231,-0.231,2012
342,161,Roanoke County,0.094,0.022,-0.025,0.283,-0.094,-0.094,-0.094,-0.094,-0.094,-0.094,2012
343,163,Rockbridge County,0.04,0.027,-0.021,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,2012
344,165,Rockingham County,0.088,0.034,-0.038,0.156,-0.088,-0.088,-0.088,-0.088,-0.088,-0.088,2012
345,167,Russell County,0.334,0.033,-0.025,0.333,-0.334,-0.334,-0.334,-0.334,-0.334,-0.334,2012
346,169,Scott County,0.292,0.099,-0.106,1.813,-0.292,-0.292,-0.292,-0.292,-0.292,-0.292,2012
347,171,Shenandoah County,0.169,0.059,-0.082,1.185,0.089,-0.169,-0.1,-0.169,-0.169,-0.169,2012
348,173,Smyth County,0.332,0.113,-0.102,0.272,-0.025,-0.332,-0.332,-0.332,-0.332,-0.332,2012
349,175,Southampton County,0.065,-0.013,-0.028,0.071,-0.003,-0.065,-0.065,-0.065,-0.065,-0.065,2012
350,177,Spotsylvania County,0.11,0.012,-0.028,0.249,-0.08,-0.11,-0.11,-0.11,-0.11,-0.11,2012
351,179,Stafford County,0.118,0.001,-0.027,0.257,-0.058,-0.118,-0.103,-0.118,-0.118,-0.118,2012
352,181,Surry County,0.044,0.01,-0.044,0.095,-0.044,-0.044,-0.044,-0.044,-0.044,-0.044,2012
353,183,Sussex County,0.109,-0.034,-0.061,0.078,-0.035,-0.109,-0.109,-0.109,-0.109,-0.109,2012
354,185,Tazewell County,0.253,0.071,-0.066,0.171,-0.036,-0.253,-0.253,-0.253,-0.253,-0.253,2012
355,187,Warren County,0.319,0.004,-0.113,1.114,0.36,-0.319,-0.171,-0.319,-0.319,-0.319,2012
356,191,Washington County,0.191,0.017,-0.033,0.972,0.117,-0.191,-0.191,-0.191,-0.191,-0.191,2012
357,193,Westmoreland County,0.32,-0.065,-0.255,1.065,-0.125,-0.32,-0.32,-0.32,-0.32,-0.32,2012
358,195,Wise County,0.46,0.138,-0.178,0.175,1.19,-0.46,-0.114,-0.46,-0.46,-0.46,2012
359,197,Wythe County,0.389,0.089,-0.144,2.061,-0.15,-0.389,-0.389,-0.389,-0.389,-0.389,2012
360,199,York County,0.036,0.003,-0.017,0.179,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,2012
361,510,Alexandria city,0.011,0.004,-0.005,0.008,0.006,-0.011,-0.011,-0.011,-0.011,-0.011,2012
362,520,Bristol city,,,,,,,,,,,2012
363,530,Buena Vista city,0.356,0.028,-0.052,0.8,-0.356,2.501,-0.356,-0.356,-0.356,-0.356,2012
364,540,Charlottesville city,0.173,-0.055,-0.13,0.898,-0.0,-0.173,-0.173,-0.173,-0.173,-0.173,2012
365,550,Chesapeake city,0.141,-0.014,-0.087,0.366,-0.072,-0.141,-0.141,-0.122,-0.109,-0.141,2012
366,570,Colonial Heights city,0.299,0.046,-0.141,1.25,-0.122,-0.299,-0.299,-0.299,-0.299,-0.299,2012
367,580,Covington city,0.633,0.123,-0.16,0.715,-0.092,-0.633,-0.633,-0.633,-0.633,-0.633,2012
368,590,Danville city,0.379,-0.117,-0.223,0.608,-0.173,-0.379,-0.104,-0.379,-0.379,-0.379,2012
369,595,Emporia city,,,,,,,,,,,2012
370,600,Fairfax city,0.009,0.003,-0.009,0.159,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,2012
371,610,Falls Church city,0.023,-0.004,-0.004,0.303,-0.023,-0.023,-0.023,-0.023,-0.023,-0.023,2012
372,620,Franklin city,0.354,-0.291,-0.239,0.817,-0.317,-0.354,-0.354,-0.354,3.35,-0.354,2012
373,630,Fredericksburg city,0.247,0.045,-0.109,0.474,-0.049,-0.247,-0.247,-0.247,-0.247,-0.247,2012
374,640,Galax city,0.992,0.476,-0.511,2.175,-0.557,-0.992,-0.575,-0.992,-0.992,-0.992,2012
375,650,Hampton city,0.136,0.003,-0.096,0.226,-0.09,-0.136,-0.136,-0.136,-0.136,-0.136,2012
376,660,Harrisonburg city,0.218,0.081,-0.14,0.907,-0.167,-0.218,-0.196,-0.218,-0.218,-0.218,2012
377,670,Hopewell city,0.502,-0.083,-0.337,1.14,-0.293,-0.502,-0.375,-0.502,-0.502,-0.502,2012
378,678,Lexington city,0.328,-0.0,-0.101,0.522,-0.013,-0.328,-0.328,-0.328,0.512,-0.328,2012
379,680,Lynchburg city,0.3,-0.121,-0.192,1.116,-0.176,-0.3,-0.3,-0.3,-0.3,-0.3,2012
380,683,Manassas city,0.164,-0.004,-0.084,0.607,-0.035,-0.164,-0.149,-0.164,-0.072,-0.076,2012
381,685,Manassas Park city,,,,,,,,,,,2012
382,690,Martinsville city,0.43,-0.108,-0.086,0.744,-0.37,-0.43,-0.43,-0.43,-0.43,-0.43,2012
383,700,Newport News city,0.143,-0.054,-0.108,0.323,-0.053,-0.143,-0.13,-0.128,-0.143,-0.143,2012
384,710,Norfolk city,0.2,-0.108,-0.15,0.436,-0.063,-0.2,-0.2,-0.2,-0.177,-0.2,2012
385,720,Norton city,0.606,0.027,-0.097,1.873,-0.606,-0.606,-0.606,-0.606,-0.606,-0.606,2012
386,730,Petersburg city,0.731,-0.058,-0.625,0.836,-0.535,-0.731,-0.583,-0.731,0.032,-0.731,2012
387,735,Poquoson city,0.099,0.06,-0.048,-0.099,-0.099,-0.099,-0.099,-0.099,-0.099,-0.099,2012
388,740,Portsmouth city,0.29,-0.098,-0.21,0.508,-0.175,-0.29,-0.29,-0.29,-0.29,-0.29,2012
389,750,Radford city,,,,,,,,,,,2012
390,760,Richmond city,0.299,-0.182,-0.254,0.639,-0.139,-0.299,-0.271,-0.299,-0.299,-0.299,2012
391,770,Roanoke city,0.247,-0.063,-0.151,0.695,-0.106,-0.247,-0.15,-0.247,-0.157,-0.247,2012
392,775,Salem city,,,,,,,,,,,2012
393,790,Staunton city,0.189,-0.014,-0.08,0.816,0.067,-0.189,-0.189,-0.189,-0.189,-0.189,2012
394,800,Suffolk city,0.165,-0.004,-0.107,0.314,-0.109,-0.165,-0.165,-0.165,-0.165,-0.165,2012
395,810,Virginia Beach city,0.033,0.005,-0.02,0.111,-0.022,-0.033,-0.014,-0.033,-0.033,-0.033,2012
396,820,Waynesboro city,0.218,0.067,-0.121,0.841,-0.14,-0.218,-0.218,-0.218,-0.218,-0.218,2012
397,830,Williamsburg city,,,,,,,,,,,2012
398,840,Winchester city,0.374,0.01,-0.171,1.518,-0.101,-0.374,-0.252,-0.374,-0.374,-0.374,2012
399,1,Accomack County,0.106,-0.043,-0.062,0.391,-0.086,-0.106,-0.106,-0.106,-0.106,-0.106,2013
400,3,Albemarle County,0.065,0.009,-0.047,0.381,0.05,-0.065,-0.031,-0.065,-0.065,-0.065,2013
401,5,Alleghany County,0.113,-0.003,-0.033,0.902,-0.113,-0.113,-0.113,-0.113,-0.113,-0.113,2013
402,7,Amelia County,0.126,-0.041,-0.022,0.343,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126,2013
403,9,Amherst County,0.214,0.039,-0.115,0.505,-0.118,-0.214,0.065,-0.214,-0.214,-0.214,2013
404,11,Appomattox County,0.104,-0.035,-0.088,0.526,0.021,-0.104,-0.104,-0.104,-0.104,-0.104,2013
405,13,Arlington County,0.04,0.007,-0.032,0.271,-0.001,-0.04,-0.006,-0.04,-0.02,-0.04,2013
406,15,Augusta County,0.06,0.006,-0.014,0.193,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,2013
407,17,Bath County,0.152,0.083,-0.059,-0.152,-0.152,-0.152,-0.152,-0.152,-0.152,-0.152,2013
408,19,Bedford County,0.105,0.007,-0.05,0.699,-0.03,-0.105,-0.105,-0.105,-0.105,-0.105,2013
409,21,Bland County,0.255,0.036,-0.049,0.221,-0.255,-0.255,-0.255,-0.255,-0.255,-0.255,2013
410,23,Botetourt County,0.115,0.021,-0.014,0.056,-0.115,-0.115,-0.115,-0.115,-0.115,-0.115,2013
411,25,Brunswick County,0.159,0.063,-0.015,0.071,-0.136,-0.159,-0.159,-0.159,-0.159,-0.159,2013
412,27,Buchanan County,0.195,0.044,-0.028,-0.195,-0.195,-0.195,-0.195,-0.195,-0.195,-0.195,2013
413,29,Buckingham County,0.175,-0.088,-0.095,0.318,-0.014,-0.175,-0.175,-0.175,-0.175,-0.175,2013
414,31,Campbell County,0.136,-0.041,-0.085,0.826,-0.038,-0.136,-0.136,-0.136,-0.136,-0.136,2013
415,33,Caroline County,0.243,0.004,-0.031,0.348,-0.219,-0.243,-0.243,-0.243,-0.243,-0.243,2013
416,35,Carroll County,0.1,0.052,-0.053,0.852,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,2013
417,36,Charles City County,,,,,,,,,,,2013
418,37,Charlotte County,0.171,0.043,-0.124,0.298,-0.066,-0.171,-0.171,-0.171,-0.171,-0.171,2013
419,41,Chesterfield County,0.13,0.027,-0.084,0.319,-0.064,-0.03,-0.092,-0.13,-0.056,-0.114,2013
420,43,Clarke County,0.098,0.057,-0.083,0.731,-0.098,-0.098,-0.098,-0.098,-0.098,-0.098,2013
421,45,Craig County,0.136,-0.056,0.059,-0.136,-0.136,-0.136,-0.136,-0.136,-0.136,-0.136,2013
422,47,Culpeper County,0.142,0.02,-0.085,0.447,-0.114,-0.142,-0.056,-0.142,-0.142,-0.142,2013
423,49,Cumberland County,0.132,-0.037,0.054,0.142,-0.132,-0.132,-0.132,-0.132,-0.132,-0.132,2013
424,51,Dickenson County,0.2,0.045,-0.042,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,2013
425,53,Dinwiddie County,0.075,-0.031,-0.042,0.248,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,2013
426,57,Essex County,0.233,-0.134,-0.142,0.573,-0.063,-0.233,-0.233,-0.233,-0.233,-0.233,2013
427,59,Fairfax County,0.009,0.004,-0.005,0.037,-0.007,-0.009,-0.004,-0.009,-0.006,-0.009,2013
428,61,Fauquier County,0.153,0.021,-0.048,0.336,0.103,-0.153,-0.153,-0.153,-0.153,-0.153,2013
429,63,Floyd County,0.329,0.057,-0.032,-0.329,-0.329,-0.329,-0.329,-0.329,-0.329,-0.329,2013
430,65,Fluvanna County,0.066,0.016,-0.039,0.243,-0.066,-0.066,-0.066,-0.066,-0.066,-0.066,2013
431,67,Franklin County,0.201,0.061,-0.115,0.799,-0.072,-0.201,-0.201,-0.201,-0.201,-0.201,2013
432,69,Frederick County,0.157,0.069,-0.08,0.155,0.028,-0.157,-0.023,-0.157,0.259,-0.157,2013
433,71,Giles County,0.43,0.103,-0.084,0.376,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,2013
434,73,Gloucester County,0.098,0.021,-0.031,0.237,-0.035,-0.098,-0.098,-0.098,-0.098,-0.098,2013
435,75,Goochland County,0.07,-0.01,-0.047,0.286,-0.017,-0.07,-0.07,-0.07,-0.07,-0.07,2013
436,77,Grayson County,0.205,0.077,-0.085,-0.205,-0.205,4.143,-0.205,-0.205,-0.205,-0.205,2013
437,79,Greene County,0.064,-0.015,-0.006,0.413,-0.064,-0.064,-0.064,-0.064,-0.064,-0.064,2013
438,81,Greensville County,0.188,-0.079,-0.077,0.203,-0.188,-0.188,-0.188,-0.188,-0.188,-0.188,2013
439,83,Halifax County,0.206,-0.082,-0.179,0.64,-0.12,-0.206,-0.206,-0.206,-0.206,-0.206,2013
440,85,Hanover County,0.123,0.02,-0.058,0.437,-0.021,-0.123,-0.123,-0.123,0.043,0.001,2013
441,87,Henrico County,0.104,0.006,-0.051,0.257,-0.066,-0.104,-0.092,-0.104,-0.096,-0.104,2013
442,89,Henry County,0.224,0.03,-0.097,0.433,-0.143,-0.224,-0.084,-0.224,-0.224,-0.224,2013
443,91,Highland County,0.045,0.048,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,2013
444,93,Isle of Wight County,,,,,,,,,,,2013
445,95,James City County,,,,,,,,,,,2013
446,97,King and Queen County,,,,,,,,,,,2013
447,99,King George County,0.149,0.024,-0.033,0.231,-0.103,-0.149,-0.149,-0.149,-0.149,-0.149,2013
448,101,King William County,0.056,0.008,-0.025,0.179,-0.056,-0.056,-0.056,-0.056,-0.056,-0.056,2013
449,103,Lancaster County,0.155,-0.015,-0.081,0.323,-0.094,-0.155,-0.155,-0.155,-0.155,-0.155,2013
450,105,Lee County,0.299,0.111,-0.078,-0.299,-0.299,-0.299,-0.299,-0.299,-0.299,-0.299,2013
451,107,Loudoun County,0.035,0.024,-0.021,0.134,-0.013,-0.035,-0.031,-0.031,-0.028,-0.035,2013
452,109,Louisa County,0.118,0.045,-0.052,0.099,-0.052,-0.118,-0.118,-0.118,-0.118,-0.118,2013
453,111,Lunenburg County,0.088,-0.04,-0.009,0.121,-0.036,-0.088,-0.088,-0.088,-0.088,-0.088,2013
454,113,Madison County,0.084,0.025,-0.033,0.072,0.082,-0.084,-0.084,-0.084,-0.084,-0.084,2013
455,115,Mathews County,0.124,0.087,-0.075,0.137,-0.124,-0.124,-0.124,-0.124,-0.124,-0.124,2013
456,117,Mecklenburg County,0.282,-0.047,-0.092,0.502,-0.194,-0.282,-0.282,-0.282,-0.282,-0.282,2013
457,119,Middlesex County,0.102,-0.03,-0.056,0.489,-0.102,-0.102,-0.102,-0.102,-0.102,-0.102,2013
458,121,Montgomery County,0.187,0.057,-0.055,0.433,0.095,-0.187,-0.187,-0.187,-0.156,-0.187,2013
459,125,Nelson County,0.149,0.046,-0.055,0.325,-0.149,-0.149,-0.149,-0.149,-0.149,-0.149,2013
460,127,New Kent County,0.149,0.047,-0.036,0.14,-0.149,-0.149,-0.149,-0.149,-0.149,-0.149,2013
461,131,Northampton County,0.1,-0.073,-0.073,0.37,-0.1,-0.1,-0.1,-0.1,2.173,-0.1,2013
462,133,Northumberland County,0.114,-0.003,-0.07,0.37,-0.114,-0.114,-0.114,-0.114,-0.114,-0.114,2013
463,135,Nottoway County,0.256,-0.149,-0.233,0.499,-0.003,-0.256,0.019,-0.256,-0.256,-0.256,2013
464,137,Orange County,0.13,0.018,-0.055,0.283,-0.086,-0.13,-0.13,-0.13,-0.13,-0.13,2013
465,139,Page County,0.223,0.108,-0.103,0.558,-0.223,-0.223,-0.223,-0.223,-0.223,-0.223,2013
466,141,Patrick County,0.197,0.056,-0.092,0.54,0.191,-0.197,-0.197,-0.197,-0.197,-0.197,2013
467,143,Pittsylvania County,0.099,-0.027,-0.062,0.416,-0.07,-0.099,-0.099,-0.099,-0.099,-0.099,2013
468,145,Powhatan County,0.081,0.032,-0.029,-0.002,-0.081,-0.081,-0.081,-0.081,-0.081,-0.081,2013
469,147,Prince Edward County,0.216,-0.012,-0.146,0.522,-0.139,-0.216,-0.216,-0.216,-0.216,-0.216,2013
470,149,Prince George County,0.048,-0.015,0.007,0.048,-0.048,-0.048,-0.048,-0.048,-0.048,-0.048,2013
471,153,Prince William County,0.075,0.025,-0.046,0.198,-0.056,-0.075,-0.075,-0.075,-0.033,-0.075,2013
472,155,Pulaski County,0.353,0.044,-0.136,1.337,0.487,-0.353,-0.353,-0.353,-0.353,-0.353,2013
473,157,Rappahannock County,0.108,0.038,-0.022,-0.108,-0.108,-0.108,-0.108,-0.108,-0.108,-0.108,2013
474,159,Richmond County,0.246,-0.084,-0.177,0.587,-0.246,-0.246,-0.246,-0.246,-0.246,-0.246,2013
